nom,date,cumulative_confirmed_cases
Mongbalu,5/14/26,0
Mongbalu,5/15/26,0
Rwampara,5/15/26,13
Bunia,5/15/26,0
Mongbalu,5/18/26,1
Rwampara,5/18/26,19
Bunia,5/18/26,6
Nyakunde,5/18/26,4
Goma,5/18/26,1
Katwa,5/18/26,1
Butembo,5/18/26,1
Mongbalu,5/19/26,13
Rwampara,5/19/26,25
Bunia,5/19/26,6
Nyakunde,5/19/26,4
Goma,5/19/26,1
Katwa,5/19/26,1
Butembo,5/19/26,1
Mongbalu,5/20/26,13
Rwampara,5/20/26,24
Bunia,5/20/26,11
Nyakunde,5/20/26,5
Goma,5/20/26,1
Katwa,5/20/26,1
Butembo,5/20/26,1
Bambu,5/20/26,1
Mongbalu,2026-05-21,14
Rwampara,2026-05-21,31
Bunia,2026-05-21,15
Nyakunde,2026-05-21,11
Goma,2026-05-21,1
Katwa,2026-05-21,1
Butembo,2026-05-21,2
Bambu,2026-05-21,1
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1