nom,date,cumulative_confirmed_deaths
Mongbalu,5/14/26,ND
Mongbalu,5/15/26,ND
Rwampara,5/15/26,ND
Bunia,5/15/26,ND
Mongbalu,5/18/26,ND
Rwampara,5/18/26,ND
Bunia,5/18/26,ND
Nyakunde,5/18/26,ND
Goma,5/18/26,ND
Katwa,5/18/26,ND
Butembo,5/18/26,ND
Mongbalu,5/19/26,0
Rwampara,5/19/26,0
Bunia,5/19/26,0
Nyakunde,5/19/26,0
Goma,5/19/26,ND
Katwa,5/19/26,ND
Butembo,5/19/26,ND
Mongbalu,5/20/26,0
Rwampara,5/20/26,0
Bunia,5/20/26,0
Nyakunde,5/20/26,0
Goma,5/20/26,ND
Katwa,5/20/26,ND
Butembo,5/20/26,ND
Bambu,5/20/26,ND
Mongbalu,2026-05-21,0
Rwampara,2026-05-21,1
Bunia,2026-05-21,1
Nyakunde,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti-Murhesa,2026-05-21,0