nom,date,cumulative_suspected_cases
Mongbalu,5/14/26,246
Mongbalu,5/15/26,246
Rwampara,5/15/26,72
Bunia,5/15/26,8
Mongbalu,5/18/26,302
Rwampara,5/18/26,136
Bunia,5/18/26,61
Nyakunde,5/18/26,14
Goma,5/18/26,1
Katwa,5/18/26,1
Butembo,5/18/26,1
Mongbalu,5/19/26,309
Rwampara,5/19/26,154
Bunia,5/19/26,90
Nyakunde,5/19/26,19
Goma,5/19/26,1
Katwa,5/19/26,1
Butembo,5/19/26,1
Mongbalu,5/20/26,317
Rwampara,5/20/26,179
Bunia,5/20/26,125
Nyakunde,5/20/26,28
Goma,5/20/26,1
Katwa,5/20/26,13
Butembo,5/20/26,7
Bambu,5/20/26,2
Mongbalu,2026-05-21,322
Rwampara,2026-05-21,193
Bunia,2026-05-21,166
Nyakunde,2026-05-21,38
Goma,2026-05-21,1
Katwa,2026-05-21,13
Butembo,2026-05-21,7
Bambu,2026-05-21,2
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1