nom,date,cumulative_suspected_deaths
Mongbalu,5/14/26,57
Mongbalu,5/15/26,ND
Rwampara,5/15/26,ND
Bunia,5/15/26,ND
Mongbalu,5/18/26,74
Rwampara,5/18/26,38
Bunia,5/18/26,18
Nyakunde,5/18/26,1
Goma,5/18/26,ND
Katwa,5/18/26,ND
Butembo,5/18/26,ND
Mongbalu,5/19/26,77
Rwampara,5/19/26,43
Bunia,5/19/26,23
Nyakunde,5/19/26,5
Goma,5/19/26,ND
Katwa,5/19/26,ND
Butembo,5/19/26,ND
Mongbalu,5/20/26,80
Rwampara,5/20/26,44
Bunia,5/20/26,31
Nyakunde,5/20/26,5
Goma,5/20/26,0
Katwa,5/20/26,0
Butembo,5/20/26,0
Bambu,5/20/26,ND
Mongbalu,5/21/26,84
Rwampara,5/21/26,51
Bunia,5/21/26,34
Nyakunde,5/21/26,6
Goma,5/21/26,0
Katwa,5/21/26,0
Butembo,5/21/26,0
Bambu,5/21/26,0
Nizi,5/21/26,0
Kilo,5/21/26,0
Miti-Murhesa,5/21/26,0