nom,date,new_suspected_cases
Mongbalu,5/14/26,246
Mongbalu,5/15/26,0
Rwampara,5/15/26,72
Bunia,5/15/26,8
Mongbalu,5/18/26,56
Rwampara,5/18/26,64
Bunia,5/18/26,53
Nyakunde,5/18/26,14
Goma,5/18/26,1
Katwa,5/18/26,1
Butembo,5/18/26,1
Mongbalu,5/19/26,7
Rwampara,5/19/26,18
Bunia,5/19/26,29
Nyakunde,5/19/26,5
Goma,5/19/26,0
Katwa,5/19/26,0
Butembo,5/19/26,0
Mongbalu,5/20/26,8
Rwampara,5/20/26,25
Bunia,5/20/26,35
Nyakunde,5/20/26,9
Goma,5/20/26,ND
Katwa,5/20/26,12
Butembo,5/20/26,6
Bambu,5/20/26,2
Mongbalu,2026-05-21,5
Rwampara,2026-05-21,14
Bunia,2026-05-21,41
Nyakunde,2026-05-21,9
Goma,2026-05-21,0
Katwa,2026-05-21,13
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1