nom,date,cumulative_contacts_traced
Mongbalu,14/05/2026,82
Mongbalu,15/05/2026,ND
Rwampara,15/05/2026,ND
Bunia,15/05/2026,ND
Mongbalu,18/05/2026,161
Rwampara,18/05/2026,120
Bunia,18/05/2026,127
Nyakunde,18/05/2026,133
Mongbalu,19/05/2026,176
Rwampara,19/05/2026,335
Bunia,19/05/2026,203
Nyakunde,19/05/2026,133
Komanda,19/05/2026,ND
Mangala,19/05/2026,ND
Mongbalu,20/05/2026,176
Rwampara,20/05/2026,621
Bunia,20/05/2026,203
Nyakunde,20/05/2026,133
Bambu,20/05/2026,128
Mongbalu,21/05/2026,176
Rwampara,21/05/2026,621
Bunia,21/05/2026,290
Nyakunde,21/05/2026,340
Nizi,21/05/2026,0
Kilo,21/05/2026,0
Mongbalu,22/05/2026,222
Rwampara,22/05/2026,621
Bunia,22/05/2026,290
Nyakunde,22/05/2026,365
Nizi,22/05/2026,0
Kilo,22/05/2026,176
Aru,22/05/2026,0
Mongbalu,23/05/2026,222
Rwampara,23/05/2026,621
Bunia,23/05/2026,404
Nyakunde,23/05/2026,365
Nizi,23/05/2026,22
Kilo,23/05/2026,0
Aru,23/05/2026,0
Bambu,23/05/2026,183
Mongbalu,24/05/2026,222
Rwampara,24/05/2026,621
Bunia,24/05/2026,404
Nyakunde,24/05/2026,365
Nizi,24/05/2026,22
Kilo,24/05/2026,0
Aru,24/05/2026,0
Bambu,24/05/2026,183
Butembo,24/05/2026,22
Goma,24/05/2026,28
Katwa,24/05/2026,99
Karisimbi,24/05/2026,249
Kyondo,24/05/2026,16
Mongbalu,25/05/2026,222
Rwampara,25/05/2026,621
Bunia,25/05/2026,404
Nyakunde,25/05/2026,365
Nizi,25/05/2026,22
Kilo,25/05/2026,0
Aru,25/05/2026,0
Bambu,25/05/2026,183
Butembo,25/05/2026,22
Goma,25/05/2026,28
Katwa,25/05/2026,99
Karisimbi,25/05/2026,249
Kyondo,25/05/2026,16
Mongbalu,26/05/2026,222
Rwampara,26/05/2026,621
Bunia,26/05/2026,404
Nyakunde,26/05/2026,365
Nizi,26/05/2026,22
Kilo,26/05/2026,0
Aru,26/05/2026,0
Bambu,26/05/2026,183
Butembo,26/05/2026,22
Goma,26/05/2026,28
Katwa,26/05/2026,99
Karisimbi,26/05/2026,249
Kyondo,26/05/2026,16
Mongbalu,27/05/2026,222
Rwampara,27/05/2026,697
Bunia,27/05/2026,404
Nyakunde,27/05/2026,397
Nizi,27/05/2026,2
Kilo,27/05/2026,41
Aru,27/05/2026,0
Bambu,27/05/2026,244
Butembo,27/05/2026,28
Goma,27/05/2026,74
Katwa,27/05/2026,111
Karisimbi,27/05/2026,181
Kyondo,27/05/2026,16