nom,date,cumulative_suspected_deaths
Mongbalu,14/05/2026,57
Mongbalu,15/05/2026,ND
Rwampara,15/05/2026,ND
Bunia,15/05/2026,ND
Mongbalu,18/05/2026,74
Rwampara,18/05/2026,38
Bunia,18/05/2026,18
Nyakunde,18/05/2026,1
Goma,18/05/2026,ND
Katwa,18/05/2026,ND
Butembo,18/05/2026,ND
Mongbalu,19/05/2026,77
Rwampara,19/05/2026,43
Bunia,19/05/2026,23
Nyakunde,19/05/2026,5
Goma,19/05/2026,ND
Katwa,19/05/2026,ND
Butembo,19/05/2026,ND
Mongbalu,20/05/2026,80
Rwampara,20/05/2026,44
Bunia,20/05/2026,31
Nyakunde,20/05/2026,5
Goma,20/05/2026,0
Katwa,20/05/2026,0
Butembo,20/05/2026,0
Bambu,20/05/2026,ND
Mongbalu,21/05/2026,84
Rwampara,21/05/2026,51
Bunia,21/05/2026,34
Nyakunde,21/05/2026,6
Goma,21/05/2026,0
Katwa,21/05/2026,0
Butembo,21/05/2026,0
Bambu,21/05/2026,0
Nizi,21/05/2026,0
Kilo,21/05/2026,0
Miti-Murhesa,21/05/2026,0
Mongbalu,22/05/2026,88
Rwampara,22/05/2026,63
Bunia,22/05/2026,42
Nyakunde,22/05/2026,8
Goma,22/05/2026,0
Katwa,22/05/2026,0
Butembo,22/05/2026,0
Bambu,22/05/2026,0
Nizi,22/05/2026,1
Kilo,22/05/2026,2
Miti-Murhesa,22/05/2026,0
Mongbalu,23/05/2026,88
Rwampara,23/05/2026,69
Bunia,23/05/2026,48
Nyakunde,23/05/2026,8
Goma,23/05/2026,0
Katwa,23/05/2026,0
Butembo,23/05/2026,0
Bambu,23/05/2026,2
Nizi,23/05/2026,2
Kilo,23/05/2026,2
Miti-Murhesa,23/05/2026,0
Aru,23/05/2026,1
Mongbalu,24/05/2026,88
Rwampara,24/05/2026,69
Bunia,24/05/2026,48
Nyakunde,24/05/2026,11
Goma,24/05/2026,0
Katwa,24/05/2026,0
Butembo,24/05/2026,0
Bambu,24/05/2026,2
Nizi,24/05/2026,2
Kilo,24/05/2026,2
Miti-Murhesa,24/05/2026,0
Aru,24/05/2026,1
Mongbalu,25/05/2026,88
Rwampara,25/05/2026,75
Bunia,25/05/2026,55
Nyankunde,25/05/2026,15
Goma,25/05/2026,0
Katwa,25/05/2026,0
Butembo,25/05/2026,0
Bambu,25/05/2026,2
Nizi,25/05/2026,2
Kilo,25/05/2026,0
Miti-Murhesa,25/05/2026,0
Aru,25/05/2026,1
Oicha,25/05/2026,0
Kalunguta,25/05/2026,0
Karisimbi,25/05/2026,0
Mongbalu,26/05/2026,88
Rwampara,26/05/2026,75
Bunia,26/05/2026,55
Nyankunde,26/05/2026,15
Goma,26/05/2026,0
Katwa,26/05/2026,0
Butembo,26/05/2026,0
Bambu,26/05/2026,2
Nizi,26/05/2026,2
Kilo,26/05/2026,0
Miti-Murhesa,26/05/2026,0
Aru,26/05/2026,1
Oicha,26/05/2026,0
Kalunguta,26/05/2026,0
Karisimbi,26/05/2026,0
Damas,26/05/2026,2
Fataki,26/05/2026,1
Mambasa,26/05/2026,1
Rimba,26/05/2026,4
Kyondo,26/05/2026,0
Mongbalu,27/05/2026,88
Rwampara,27/05/2026,75
Bunia,27/05/2026,55
Nyankunde,27/05/2026,15
Goma,27/05/2026,0
Katwa,27/05/2026,0
Butembo,27/05/2026,0
Bambu,27/05/2026,2
Nizi,27/05/2026,2
Kilo,27/05/2026,0
Miti-Murhesa,27/05/2026,0
Aru,27/05/2026,1
Oicha,27/05/2026,0
Kalunguta,27/05/2026,0
Karisimbi,27/05/2026,0
Damas,27/05/2026,ND
Fataki,27/05/2026,ND
Mambasa,27/05/2026,ND
Rimba,27/05/2026,ND
Kyondo,27/05/2026,0