nom,date,new_suspected_deaths
Mongbwalu,2026-05-14,57
Mongbwalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbwalu,2026-05-18,17
Rwampara,2026-05-18,38
Bunia,2026-05-18,18
Nyankunde,2026-05-18,1
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbwalu,2026-05-19,3
Rwampara,2026-05-19,5
Bunia,2026-05-19,5
Nyankunde,2026-05-19,4
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbwalu,2026-05-20,3
Rwampara,2026-05-20,1
Bunia,2026-05-20,8
Nyankunde,2026-05-20,0
Goma,2026-05-20,0
Katwa,2026-05-20,0
Butembo,2026-05-20,0
Bambu,2026-05-20,ND